title,full_text,generated
김여백,"본적지는 함경북도 경성군이었지만, 어린 시절 러시아 연해주 지역으로 이주하여 우수리스크에서 니콜스크소학교(1909년 졸업), 니콜스크중학교(1914년 졸업)를 졸업하며 러시아 교육을 받았다.",1
역전재판,"다른 증거는 '자세히 보기'로 3D 재구성하여 숨겨진 부분까지 확인하고, 관련 대화와 현장 상면도까지 추가하여 사건을 생생하게 재현합니다.",1
구학파 신학파 논쟁,보수적 신학을 옹호하고 대각성 운동을 반대하는 대표적인 인물로 찰스 핫지가 있다.,1
이건 (대한제국 황족),"조선의 한성부 출신으로 1930년 일본 육군사관학교, 1938년 육군대학교를 졸업한 그는 일본 제국 육군 중좌에까지 승진했고, 1931년 마쓰다이라 요시코와 결혼하여 1947년 모모야마 겐이치로로 개명하고 1955년 일본 국적을 취득했다.",1
베른트 슈스터,"슈스터는 1980년대 바르셀로나에서 중원을 장악하며 많은 골을 넣었지만, 여러 감독과의 갈등에도 불구하고 유럽 축구계에서 주목받으며 수많은 수상을 거머쥐었다.",1
아케미 호무라,"호무라는 마녀가 되었고, 자신이 소울젬이 오염되어 봉인된 세계에 있다는 사실을 알게 되면서 큐베의 설득에도 불구하고 스스로 마녀화를 선택하지만, 다른 마법소녀들의 도움으로 결계에서 벗어나 마도카와 다시 만난다.",1
스즈키 소노코,"초기에는 산, 바다 여행이나 동호회를 통해 연인을 찾으려 했지만, 늘 소노코에게 끌려 살인범이나 기묘한 사람들만 만나 괴로움을 겪거나 심지어 살해 위기를 겪었고, 쿄고쿠 마코토와의 연애 후에도 간간히 남자친구를 찾는 습관은 떨쳐내지 못했지만, 휴대폰 케이스에 쿄고쿠와 비슷한 마스코트 인형을 달거나 선물을 주는 등 그를 향한 애정을 표현하고 있다.",1
마르크스주의 경제학,자본 축적은 자본가들이 잉여가치를 자본으로 전환시키고 여러 자본을 결합시킴으로써 개별 자본의 규모와 전체 자본의 집중도를 증가시킨다.,1
모테키,"《모테키》는 〈린다 린다〉를 시작으로 이어지는 이야기이며, 사실상 〈린다 린다〉의 속편이다.",1
방훈의 난,"868년 9월(《신당서》에 따르면 10월) 서주의 본거지 팽성이 함락되면서 최언증은 사로잡히고 그의 가족과 추종자들은 잔혹하게 처형당했고, 이후 서주는 방훈군의 손에 들어갔으며 장안의 당나라 황실까지 위협받게 되었다.",1
자이프낮도마뱀붙이,"독일 파충류학자 로버트 자이프를 기념하여 종명 ""seippi""가 붙여졌다.",1
근대,"표트르 1세의 서유럽화 정책은 러시아 내부의 불안정을 야기했고, 이는 예카테리나 2세가 즉위하여도 계속되면서 농민들의 반발을 불러일으키기도 하였지만, 동시에 터키, 오스트리아, 프로이센과의 전쟁을 통해 러시아의 영토를 확장하고 강대국으로서의 위상을 확립하는 데 기여했다.",1
글리제 876 b,글리제 876 b와 c는 1:2 궤도공명을 이루면서 서로 강한 중력적 영향을 주고받아 b의 궤도가 불안정하고 궤도 요소가 빠르게 변화한다.,1
해마 (동물),"해마는 긴 주둥이로 먹이를 잡지만, 느린 소화 속도와 단순한 위장 때문에 끊임없이 먹어야 하며, 약한 수영 능력 때문에 꼬리를 이용해 해초나 산호에 붙어 생존한다.",1
국제 언어학 올림피아드,"국제 언어학 올림피아드(IOL)는 2003년 불가리아에서 처음 열린 국제 과학 올림피아드의 일부로, 매년 7월 말부터 8월 초까지 약 일주일간 21개국이 참여하는 대회입니다.",1
셰이 기븐,"그는 1996년 국가대표로 발탁되어 2010년 월드컵 예선까지 아일랜드 국가대표팀의 핵심 선수로 활약하며 134경기에 출장, 이는 아일랜드 역사상 최다 출장 기록이 되었다.",1
퓨처라마,반복되는 유머와 짧은 문구.,1
명예훼손,호주 최고 법원의 판결에 대한 국제적 반응이 촉발되었다.,1
Sweet Impact,첫 번째 앨범에는 〈SO REAL〉의 리믹스곡이 깜짝 보너스 트랙으로 담겨 있다.,1
감정지능,두 연구 모두에서 약물 의존과 감정지능 사이의 부정적인 상관관계를 밝혀냈다.,1
조지 암스트롱 커스터,"리의 항복에 커스터가 참석했으며, 서명된 식탁은 그의 용맹함을 기념하기 위해 선물로 전달되었고, 전쟁 종전 직전 그는 준장, 소장, 지원병에서 소장으로 명예 진급을 받았다.",1
건탱크,"이 기계는 미노프스키-이요네스크형 핵융합로가 개발되기 전, 기체로 가스 터빈 엔진과 구식 핵융합로를 사용하는 이중 방식 제네레이터를 탑재했으며, 원거리 지원을 목적으로 제작되어 주로 이동포대로 활용되었다.",1
랑선 원정,"광서군이 박레의 동선을 점령하여 청나라군의 보급선을 위협하자, 청나라군은 만다린 로드를 따라 타인머이로 후퇴하며 데오꽌 산에 있는 프랑스 전초기지를 공격하여 광서군의 재집결을 늦추려 했다.",1
알베르토 아퀼라니,2006-07 시즌 AC 밀란과의 경기에서 만시니에게 라보나 패스를 보여준 활약으로 주목받은 그는 최근에는 로마에서 공격형 미드필더가 아닌 중앙 미드필더로 활약하고 있다.,1
대한민국 해군 국제관함식,"대한민국 해군은 10월 4일, 자국기와 태극기 게양 요청에 대해 일본 등 참가국에 대한 입장이 변함이 없음을 다시 한번 강조했다.",1
중성자별,"지금까지 발견된 중성자별 중 가장 빠른 회전 속도를 가진 천체는 초당 716회 회전하는 PSR J1748-2446ad이며, 최근 XTE J1739-285에서 1122Hz의 X-선 폭발 진동이 관측되었지만, 이는 한 번의 일시적인 현상이었기에 추가적인 확인이 필요하다.",1
싼싱두이,삼성퇴 문화는 규모와 유물적 특징이 고대 파촉 지역의 문명과 유사하여 쓰촨 문명으로도 불린다.,1
김완선,"1994년 대만으로 진출한 김원훤은 3장의 만다린어 앨범을 발매하며 활동했고, 특히 1995년 발표한 앨범은 대만에서 큰 인기를 얻으며 한국에 대한 부정적인 감정을 누그러뜨리는 데 기여했다.",1
서울 용암사 감로왕도,"삼계(天上, 地上, 地下)로 이루어진 감로왕도는 아미타불 일행이 구름을 타고 지옥을 구원하는 상단의 구원 장면과 감로왕여래가 감로를 내려 인간을 재앙으로부터 보호하는 하단의 보호 장면으로 이루어져 있다.",1
온양천도초등학교,망가져 있지만 여전히 작동합니다.,1
나가사키 전기 궤도,"나가사키 전철은 통칭으로 사용되며, 현지에서는 전차라고도 부르며, 전화번호부에도 '나가사키 전기 궤도'와 '나가사키 전철'로 표기된다.",1
혼인 (대한민국 민법),2012년 2월 10일 민법 개정으로 부부간 계약 취소권(제828조)이 삭제되어 아래 내용은 더 이상 적용되지 않습니다.,1
사르미제게투사 레기아,"다키아의 수도 방어는 사르미제게투사, 코스테슈티-블리다루르, 피아트라 로시에, 코스테슈티-세터추이에, 커펄나, 버니차 여섯 개의 요새로 둘러싸여 있다.",1
프랑시스 풀랑크,"1960년대 초반, 그는 미국을 방문하여 뉴욕의 카네기 홀에서 뒤발과 함께 《인간의 목소리》를 미국에서 처음으로 공연하고, 샤를 뮌슈의 지휘 아래 《글로리아》의 세계 초연을 했다.",1
포뮬러 SAE,"동적 이벤트는 가속 테스트, 스키드패드, 오토크로스, 내구 테스트로 나뉘며 각각 최고 속도, 선회력, 트랙 달리기 속도, 내구성을 측정합니다.",1
초신성,"별의 질량에 따라 탄소 융합 여부와 진화 과정이 달라지며, 낮은 질량의 별은 백색 왜성으로, 높은 질량의 별은 양파 구조를 갖고 중심핵에서 점점 무거운 원소를 연소하며, 특히 8~12 태양 질량대의 별은 산소-네온(-마그네슘) 핵을 가지며 점근거성열성으로 불리며 덜 밝은 초신성을 형성한다.",1
모리토모 학원 문제,수정된 문서에 대한 감사.,1
LG Q70,LG Q70은 LG전자 스마트폰 최초로 펀치홀 디스플레이를 탑재했다.,1
EO-X 사업,"1999년 사업 초기에는 RF-4C 정찰기에 EO-X 장비를 탑재하려 했지만, 성능 문제로 KF-16으로 변경하여 기존 카메라보다 정보 수집 능력이 2~3배 이상 향상되고 금강정찰기 SAR 화상 정보보다 우수하며, U-2 정찰기 수준의 능력을 갖출 것으로 예상된다.",1
칼로리 제한,칼로리 섭취 제한은 오키나와 다이어트와 C.R.O.N. 다이어트와 같은 다이어트법의 핵심 요소이다.,1
대한민국 제21대 국회,"2021년 8월 31일, 1년 2개월 넘게 지난 날짜인, 국민의힘 최다선(5선) 국회의원 정진석 의원이 야당 부의장으로 선출되었다.",1
윤광선,"윤정구는 고려원양 전무를 지냈고, 그의 사위들은 각 분야에서 뛰어난 업적을 남겼다.",1
토압,"formula_49는 벽체와 흙의 접촉각, formula_23은 지표면의 경사각, formula_51은 파괴면과 반력의 각도, formula_52는 토압 합력과 벽체 배면의 연직 방향과의 각도를 나타낸다.",1
압력,"압력은 단위면적당 가해지는 힘을 나타내는 다양한 단위로 표현되며, 단위 제곱인치당 파운드 또는 기압(torr)과 같이 사용될 수 있다.",1
코쥘 쌍대성,수학에서 코쥘 쌍대성은 결합 대수나 오퍼라드 간의 쌍대 관계를 다루는 이론입니다.,1
Last of the Time Lords,"전세계의 집단 정신 에너지로 부활한 닥터가 마스터를 물리치고, 잭이 패러독스 머신을 파괴하며 시간이 원상복구되고, 마스터의 아내 루시가 마스터를 죽이며, 닥터는 다시 한번 타임 로드의 최후의 생존자가 된다.",1
히메지성,무네마치 겐베이에 대한 전설.,1
박헌영,"1925년 4월 17일, 김약수, 김찬, 조봉암 등과 함께 경성의 중식 식당 아서원에서 비밀리에 조선공산당을 창당했고, 4월 18일에는 화요회 야체이카 대표 자격으로 중앙위원에 선출되어 조선공산당의 지도자로서 활동하게 되었다.",1
후쿠오카시 교통국 1000계 전동차,"1997년부터 2004년까지 리뉴얼 공사를 통해 1000N계로 명칭을 변경한 뒤, 차량 번호나 개조 명판은 변경하지 않았다.",1
열기구,"열기구는 뜨거운 공기로 부력을 얻어 하늘을 나는 항공기로, 주로 개방식 화염으로 열을 가해 비행하며, 풍선 내부의 공기가 외부보다 가벼워 하늘을 떠오르게 된다.",1
의사표시,"의사표시 무효 시, 손해배상 책임은 긍정설과 부정설로 구분된다.",1
변화관리,"마지막 단계인 재결빙은 달성된 변화를 지속하기 위해 안정성과 생산성을 확립하고, 조직원들이 새로운 환경에 적응하도록 돕는 과정이다.",1
제임스 D. 왓슨,"콜드 스프링 하버 연구진은 제한 효소 기술을 빠르게 수용하고, 이를 활용하여 DNA와 RNA 분석 기술을 발전시켰으며, 특히 에티듐 브로마이드 아가로오스 겔을 이용한 DNA 분자 분리법을 개발하는 데 중점을 두었다.",1
밀양 지역 고교생의 여중생 집단 성폭행 사건,말도 안 되는 루머와 언론인들에 대한 사이버 공격.,1
다툭,"여성이 남성 수여자의 배우자로서가 아니라 공적 업적으로 작위를 받을 경우, 공식 명칭은 다틴 파두카(Datin Paduka)이나, 실제로는 남녀노소를 막론하고 다툭이라고 불리는 경우가 많다.",1
우치무라 간조,"1891년 일본 천황의 절대권력 상징인 《교육칙어》봉독식에서 예를 갖춰 인사를 하지 않은 '불경사건'으로 존황파의 증오를 사하여, 보복 테러의 대상이 되어 가정과 직업을 모두 잃었다.",1
쿠르트 슈마허,사회주의 정책과 보수주의를 비판적인 관점에서 다룬 주장.,1
태양 에너지,"태양열 풍선은 검은색으로 채워진 풍선으로, 햇빛을 받으면 안쪽 공기가 열되어 부풀어 오르는 열기구와 같은 원리를 이용하여 하늘을 뜨게 된다.",1
우두 (질병),"우두 접종을 통해 생성되는 항체는 천연두 바이러스에도 효과적이어서, 1980년 세계보건기구는 천연두 박멸을 선언했습니다.",1
디키고,"로마의 히폴리투스는 디키고가 70명의 제자 중 한 명이었음을 기록했고, 그의 축일은 4월 29일입니다.",1
워킹 데드 (드라마),사람들은 독감에 대한 항생제를 찾기 위해,1
에밀 크로니클 온라인,"기본 레벨 업은 능력치만 증가시켰지만, 보너스 포인트가 없어 자유로운 설정이 불가능했고, 머신이나 폼의 경우 추가 능력을 통해 칩을 배치하거나 강력한 부품을 구매할 수 있었지만, 노멀 폼에서는 칩 강화 효과가 적용되지 않았다.",1
파리 2구,"파리 2구는 파리의 20개 행정구 중 하나로, 공식적으로는 '부르스'라고도 불리지만, 실제로는 드물게 사용된다.",1
침례교,"주의 만찬은 예수의 마지막 만찬을 기념하기 위해 행하는 의식으로, 빵과 음료를 통해 예수의 몸과 피를 상징적으로 받아들이며, 침례교에서는 문자적 해석을 배제한다.",1
동시적 게임,"동시적 게임은 죄수의 딜레마뿐 아니라, 같은 시험 문제를 풀는 여러 학생들의 상황에도 해당된다.",1
잡종 끈 이론,SO(32) 혼합 끈 이론은 큰 결합 상수의 한계에서 S-이중성을 통해 1형 끈 이론과 일치한다.,1
